/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 1,803,850 | K=4 | blocks/unit=-
----------------------------------------------------------------------
Ep 234 | loss 0.0227 | task 0.0227 | train 99.2% | test 83.9%
Ep 235 | loss 0.0238 | task 0.0238 | train 99.2% | test 83.8%
Ep 236 | loss 0.0228 | task 0.0228 | train 99.2% | test 84.0%
Ep 237 | loss 0.0229 | task 0.0229 | train 99.2% | test 83.8%
Ep 238 | loss 0.0207 | task 0.0207 | train 99.3% | test 83.9%
Ep 239 | loss 0.0211 | task 0.0211 | train 99.3% | test 83.7%
Ep 240 | loss 0.0196 | task 0.0196 | train 99.3% | test 83.9%
Ep 241 | loss 0.0228 | task 0.0228 | train 99.2% | test 83.9%
Ep 242 | loss 0.0195 | task 0.0195 | train 99.3% | test 83.9%
Ep 243 | loss 0.0209 | task 0.0209 | train 99.3% | test 83.8%
Ep 244 | loss 0.0198 | task 0.0198 | train 99.3% | test 84.1%
Ep 245 | loss 0.0205 | task 0.0205 | train 99.3% | test 83.8%
Ep 246 | loss 0.0195 | task 0.0195 | train 99.3% | test 83.8%
Ep 247 | loss 0.0196 | task 0.0196 | train 99.3% | test 84.0%
Ep 248 | loss 0.0176 | task 0.0176 | train 99.4% | test 84.0%
Ep 249 | loss 0.0192 | task 0.0192 | train 99.4% | test 84.0%
Ep 250 | loss 0.0170 | task 0.0170 | train 99.4% | test 84.1%
Ep 251 | loss 0.0178 | task 0.0178 | train 99.4% | test 83.8%
Ep 252 | loss 0.0187 | task 0.0187 | train 99.3% | test 84.0%
Ep 253 | loss 0.0162 | task 0.0162 | train 99.4% | test 84.1%
Ep 254 | loss 0.0155 | task 0.0155 | train 99.5% | test 83.9%
Ep 255 | loss 0.0165 | task 0.0165 | train 99.5% | test 84.0%
Ep 256 | loss 0.0148 | task 0.0148 | train 99.5% | test 84.1%
