/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 3,583,306 | K=8 | blocks/unit=-
----------------------------------------------------------------------
Ep 273 | loss 0.0030 | task 0.0030 | train 99.9% | test 83.5%
Ep 274 | loss 0.0027 | task 0.0027 | train 99.9% | test 83.5%
Ep 275 | loss 0.0026 | task 0.0026 | train 99.9% | test 83.5%
Ep 276 | loss 0.0021 | task 0.0021 | train 99.9% | test 83.5%
Ep 277 | loss 0.0023 | task 0.0023 | train 99.9% | test 83.5%
Ep 278 | loss 0.0022 | task 0.0022 | train 99.9% | test 83.6%
Ep 279 | loss 0.0019 | task 0.0019 | train 99.9% | test 83.5%
Ep 280 | loss 0.0021 | task 0.0021 | train 99.9% | test 83.5%
Ep 281 | loss 0.0021 | task 0.0021 | train 99.9% | test 83.5%
Ep 282 | loss 0.0025 | task 0.0025 | train 99.9% | test 83.6%
Ep 283 | loss 0.0019 | task 0.0019 | train 99.9% | test 83.5%
Ep 284 | loss 0.0022 | task 0.0022 | train 99.9% | test 83.6%
Ep 285 | loss 0.0017 | task 0.0017 | train 99.9% | test 83.7%
Ep 286 | loss 0.0022 | task 0.0022 | train 99.9% | test 83.6%
Ep 287 | loss 0.0023 | task 0.0023 | train 99.9% | test 83.5%
Ep 288 | loss 0.0019 | task 0.0019 | train 99.9% | test 83.5%
Ep 289 | loss 0.0016 | task 0.0016 | train 99.9% | test 83.6%
Ep 290 | loss 0.0019 | task 0.0019 | train 99.9% | test 83.6%
Ep 291 | loss 0.0019 | task 0.0019 | train 99.9% | test 83.6%
Ep 292 | loss 0.0019 | task 0.0019 | train 99.9% | test 83.6%
Ep 293 | loss 0.0020 | task 0.0020 | train 99.9% | test 83.6%
Ep 294 | loss 0.0020 | task 0.0020 | train 99.9% | test 83.5%
Ep 295 | loss 0.0022 | task 0.0022 | train 99.9% | test 83.6%
Ep 296 | loss 0.0018 | task 0.0018 | train 99.9% | test 83.6%
Ep 297 | loss 0.0012 | task 0.0012 | train 100.0% | test 83.5%
Ep 298 | loss 0.0014 | task 0.0014 | train 100.0% | test 83.5%
Ep 299 | loss 0.0016 | task 0.0016 | train 99.9% | test 83.5%
Ep 300 | loss 0.0019 | task 0.0019 | train 99.9% | test 83.5%
Saved checkpoint to base_dim192_300ep.pt
