Loading ImageNet64 from HuggingFace...
Model: baseline | Params: 14,699,368 | K=8 | blocks/unit=-
----------------------------------------------------------------------
  step 1000/5005 | loss 3.1444 | acc 33.5% | 219s elapsed | eta 878s
  step 1100/5005 | loss 3.1454 | acc 33.5% | 241s elapsed | eta 856s
  step 1200/5005 | loss 3.1457 | acc 33.5% | 263s elapsed | eta 834s
  step 1300/5005 | loss 3.1443 | acc 33.5% | 285s elapsed | eta 812s
  step 1400/5005 | loss 3.1467 | acc 33.5% | 307s elapsed | eta 790s
  step 1500/5005 | loss 3.1459 | acc 33.5% | 329s elapsed | eta 768s
  step 1600/5005 | loss 3.1458 | acc 33.5% | 351s elapsed | eta 746s
  step 1700/5005 | loss 3.1457 | acc 33.5% | 373s elapsed | eta 724s
  step 1800/5005 | loss 3.1447 | acc 33.6% | 395s elapsed | eta 703s
  step 1900/5005 | loss 3.1445 | acc 33.6% | 416s elapsed | eta 681s
  step 2000/5005 | loss 3.1438 | acc 33.6% | 438s elapsed | eta 659s
  step 2100/5005 | loss 3.1432 | acc 33.6% | 460s elapsed | eta 637s
  step 2200/5005 | loss 3.1433 | acc 33.6% | 482s elapsed | eta 615s
  step 2300/5005 | loss 3.1419 | acc 33.6% | 504s elapsed | eta 593s
  step 2400/5005 | loss 3.1405 | acc 33.6% | 526s elapsed | eta 571s
  step 2500/5005 | loss 3.1395 | acc 33.7% | 548s elapsed | eta 549s
  step 2600/5005 | loss 3.1390 | acc 33.7% | 570s elapsed | eta 527s
  step 2700/5005 | loss 3.1382 | acc 33.7% | 592s elapsed | eta 505s
  step 2800/5005 | loss 3.1370 | acc 33.7% | 614s elapsed | eta 483s
  step 2900/5005 | loss 3.1364 | acc 33.7% | 636s elapsed | eta 461s
  step 3000/5005 | loss 3.1353 | acc 33.7% | 657s elapsed | eta 439s
  step 3100/5005 | loss 3.1343 | acc 33.7% | 679s elapsed | eta 417s
  step 3200/5005 | loss 3.1333 | acc 33.7% | 701s elapsed | eta 396s
  step 3300/5005 | loss 3.1324 | acc 33.8% | 723s elapsed | eta 374s
  step 3400/5005 | loss 3.1317 | acc 33.8% | 745s elapsed | eta 352s
  step 3500/5005 | loss 3.1302 | acc 33.8% | 767s elapsed | eta 330s
  step 3600/5005 | loss 3.1288 | acc 33.8% | 789s elapsed | eta 308s
  step 3700/5005 | loss 3.1283 | acc 33.8% | 811s elapsed | eta 286s
  step 3800/5005 | loss 3.1277 | acc 33.8% | 833s elapsed | eta 264s
  step 3900/5005 | loss 3.1260 | acc 33.9% | 855s elapsed | eta 242s
  step 4000/5005 | loss 3.1256 | acc 33.9% | 876s elapsed | eta 220s
  step 4100/5005 | loss 3.1250 | acc 33.9% | 898s elapsed | eta 198s
  step 4200/5005 | loss 3.1236 | acc 33.9% | 920s elapsed | eta 176s
  step 4300/5005 | loss 3.1224 | acc 33.9% | 942s elapsed | eta 154s
  step 4400/5005 | loss 3.1211 | acc 34.0% | 964s elapsed | eta 133s
  step 4500/5005 | loss 3.1199 | acc 34.0% | 986s elapsed | eta 111s
  step 4600/5005 | loss 3.1188 | acc 34.0% | 1008s elapsed | eta 89s
  step 4700/5005 | loss 3.1175 | acc 34.0% | 1030s elapsed | eta 67s
  step 4800/5005 | loss 3.1161 | acc 34.0% | 1052s elapsed | eta 45s
  step 4900/5005 | loss 3.1150 | acc 34.1% | 1074s elapsed | eta 23s
  step 5000/5005 | loss 3.1134 | acc 34.1% | 1096s elapsed | eta 1s
Ep   5 | loss 3.1134 | task 3.1134 | train 34.1% | test 32.9% | 1108s
  step 100/5005 | loss 2.9177 | acc 37.3% | 22s elapsed | eta 1084s
  step 200/5005 | loss 2.9058 | acc 37.6% | 44s elapsed | eta 1057s
  step 300/5005 | loss 2.9016 | acc 37.6% | 66s elapsed | eta 1034s
  step 400/5005 | loss 2.9010 | acc 37.5% | 88s elapsed | eta 1011s
  step 500/5005 | loss 2.9057 | acc 37.3% | 110s elapsed | eta 989s
  step 600/5005 | loss 2.9074 | acc 37.2% | 132s elapsed | eta 966s
  step 700/5005 | loss 2.9093 | acc 37.2% | 154s elapsed | eta 944s
  step 800/5005 | loss 2.9106 | acc 37.2% | 175s elapsed | eta 922s
  step 900/5005 | loss 2.9084 | acc 37.3% | 197s elapsed | eta 900s
  step 1000/5005 | loss 2.9096 | acc 37.2% | 219s elapsed | eta 878s
  step 1100/5005 | loss 2.9101 | acc 37.2% | 241s elapsed | eta 856s
  step 1200/5005 | loss 2.9130 | acc 37.2% | 263s elapsed | eta 834s
  step 1300/5005 | loss 2.9128 | acc 37.2% | 285s elapsed | eta 812s
  step 1400/5005 | loss 2.9126 | acc 37.2% | 307s elapsed | eta 790s
  step 1500/5005 | loss 2.9134 | acc 37.2% | 329s elapsed | eta 768s
  step 1600/5005 | loss 2.9144 | acc 37.2% | 351s elapsed | eta 746s
  step 1700/5005 | loss 2.9154 | acc 37.2% | 373s elapsed | eta 724s
  step 1800/5005 | loss 2.9157 | acc 37.1% | 395s elapsed | eta 702s
  step 1900/5005 | loss 2.9167 | acc 37.1% | 416s elapsed | eta 681s
  step 2000/5005 | loss 2.9176 | acc 37.1% | 438s elapsed | eta 659s
  step 2100/5005 | loss 2.9183 | acc 37.1% | 460s elapsed | eta 637s
  step 2200/5005 | loss 2.9200 | acc 37.1% | 482s elapsed | eta 615s
  step 2300/5005 | loss 2.9198 | acc 37.1% | 504s elapsed | eta 593s
  step 2400/5005 | loss 2.9200 | acc 37.1% | 526s elapsed | eta 571s
  step 2500/5005 | loss 2.9203 | acc 37.1% | 548s elapsed | eta 549s
  step 2600/5005 | loss 2.9207 | acc 37.1% | 570s elapsed | eta 527s
  step 2700/5005 | loss 2.9189 | acc 37.1% | 592s elapsed | eta 505s
  step 2800/5005 | loss 2.9181 | acc 37.1% | 614s elapsed | eta 483s
  step 2900/5005 | loss 2.9186 | acc 37.1% | 635s elapsed | eta 461s
  step 3000/5005 | loss 2.9193 | acc 37.1% | 657s elapsed | eta 439s
  step 3100/5005 | loss 2.9195 | acc 37.1% | 679s elapsed | eta 417s
  step 3200/5005 | loss 2.9198 | acc 37.1% | 701s elapsed | eta 396s
  step 3300/5005 | loss 2.9194 | acc 37.1% | 723s elapsed | eta 374s
  step 3400/5005 | loss 2.9193 | acc 37.1% | 745s elapsed | eta 352s
  step 3500/5005 | loss 2.9193 | acc 37.1% | 767s elapsed | eta 330s
  step 3600/5005 | loss 2.9203 | acc 37.1% | 789s elapsed | eta 308s
  step 3700/5005 | loss 2.9203 | acc 37.1% | 811s elapsed | eta 286s
  step 3800/5005 | loss 2.9194 | acc 37.1% | 833s elapsed | eta 264s
  step 3900/5005 | loss 2.9191 | acc 37.1% | 854s elapsed | eta 242s
  step 4000/5005 | loss 2.9192 | acc 37.1% | 876s elapsed | eta 220s
  step 4100/5005 | loss 2.9187 | acc 37.1% | 898s elapsed | eta 198s
  step 4200/5005 | loss 2.9186 | acc 37.1% | 920s elapsed | eta 176s
  step 4300/5005 | loss 2.9183 | acc 37.2% | 942s elapsed | eta 154s
  step 4400/5005 | loss 2.9171 | acc 37.2% | 964s elapsed | eta 133s
  step 4500/5005 | loss 2.9160 | acc 37.2% | 986s elapsed | eta 111s
  step 4600/5005 | loss 2.9162 | acc 37.2% | 1008s elapsed | eta 89s
  step 4700/5005 | loss 2.9154 | acc 37.2% | 1030s elapsed | eta 67s
  step 4800/5005 | loss 2.9149 | acc 37.2% | 1052s elapsed | eta 45s
  step 4900/5005 | loss 2.9148 | acc 37.2% | 1074s elapsed | eta 23s
  step 5000/5005 | loss 2.9143 | acc 37.2% | 1095s elapsed | eta 1s
Ep   6 | loss 2.9142 | task 2.9142 | train 37.2% | test 35.7% | 1108s
  step 100/5005 | loss 2.7190 | acc 40.2% | 22s elapsed | eta 1084s
  step 200/5005 | loss 2.7257 | acc 40.0% | 44s elapsed | eta 1057s
  step 300/5005 | loss 2.7279 | acc 40.0% | 66s elapsed | eta 1034s
  step 400/5005 | loss 2.7298 | acc 40.0% | 88s elapsed | eta 1011s
  step 500/5005 | loss 2.7343 | acc 40.0% | 110s elapsed | eta 989s
  step 600/5005 | loss 2.7354 | acc 40.1% | 132s elapsed | eta 966s
  step 700/5005 | loss 2.7385 | acc 40.0% | 154s elapsed | eta 944s
  step 800/5005 | loss 2.7402 | acc 40.0% | 175s elapsed | eta 922s
  step 900/5005 | loss 2.7413 | acc 40.0% | 197s elapsed | eta 900s
  step 1000/5005 | loss 2.7429 | acc 40.0% | 219s elapsed | eta 878s
  step 1100/5005 | loss 2.7426 | acc 40.0% | 241s elapsed | eta 856s
  step 1200/5005 | loss 2.7431 | acc 40.0% | 263s elapsed | eta 834s
  step 1300/5005 | loss 2.7436 | acc 40.0% | 285s elapsed | eta 812s
  step 1400/5005 | loss 2.7459 | acc 40.0% | 307s elapsed | eta 790s
  step 1500/5005 | loss 2.7465 | acc 39.9% | 329s elapsed | eta 768s
  step 1600/5005 | loss 2.7475 | acc 40.0% | 351s elapsed | eta 746s
  step 1700/5005 | loss 2.7485 | acc 39.9% | 373s elapsed | eta 724s
  step 1800/5005 | loss 2.7486 | acc 39.9% | 395s elapsed | eta 702s
  step 1900/5005 | loss 2.7491 | acc 39.9% | 416s elapsed | eta 681s
  step 2000/5005 | loss 2.7509 | acc 39.9% | 438s elapsed | eta 659s
  step 2100/5005 | loss 2.7522 | acc 39.8% | 460s elapsed | eta 637s
  step 2200/5005 | loss 2.7524 | acc 39.8% | 482s elapsed | eta 615s
  step 2300/5005 | loss 2.7531 | acc 39.8% | 504s elapsed | eta 593s
  step 2400/5005 | loss 2.7540 | acc 39.8% | 526s elapsed | eta 571s
  step 2500/5005 | loss 2.7545 | acc 39.8% | 548s elapsed | eta 549s
  step 2600/5005 | loss 2.7545 | acc 39.8% | 570s elapsed | eta 527s
  step 2700/5005 | loss 2.7554 | acc 39.8% | 592s elapsed | eta 505s
