Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 4000/5005 | loss 3.2018 | acc 32.8% | 911s elapsed | eta 229s
  step 4100/5005 | loss 3.2001 | acc 32.8% | 933s elapsed | eta 206s
  step 4200/5005 | loss 3.1983 | acc 32.9% | 956s elapsed | eta 183s
  step 4300/5005 | loss 3.1965 | acc 32.9% | 979s elapsed | eta 161s
  step 4400/5005 | loss 3.1950 | acc 32.9% | 1002s elapsed | eta 138s
  step 4500/5005 | loss 3.1938 | acc 32.9% | 1028s elapsed | eta 115s
  step 4600/5005 | loss 3.1922 | acc 33.0% | 1065s elapsed | eta 94s
  step 4700/5005 | loss 3.1918 | acc 33.0% | 1100s elapsed | eta 71s
  step 4800/5005 | loss 3.1906 | acc 33.0% | 1129s elapsed | eta 48s
  step 4900/5005 | loss 3.1892 | acc 33.0% | 1154s elapsed | eta 25s
  step 5000/5005 | loss 3.1877 | acc 33.0% | 1179s elapsed | eta 1s
Ep   4 | loss 3.1877 | task 3.1877 | cons 0.0000 | train 33.0% | test 32.1% | 1206s
  step 100/5005 | loss 2.9543 | acc 36.7% | 37s elapsed | eta 1804s
  step 200/5005 | loss 2.9495 | acc 36.9% | 75s elapsed | eta 1803s
  step 300/5005 | loss 2.9439 | acc 36.9% | 104s elapsed | eta 1630s
  step 400/5005 | loss 2.9550 | acc 36.7% | 130s elapsed | eta 1495s
  step 500/5005 | loss 2.9543 | acc 36.8% | 155s elapsed | eta 1399s
  step 600/5005 | loss 2.9602 | acc 36.6% | 188s elapsed | eta 1381s
  step 700/5005 | loss 2.9600 | acc 36.6% | 223s elapsed | eta 1372s
  step 800/5005 | loss 2.9637 | acc 36.6% | 258s elapsed | eta 1356s
  step 900/5005 | loss 2.9689 | acc 36.5% | 278s elapsed | eta 1270s
  step 1000/5005 | loss 2.9730 | acc 36.4% | 301s elapsed | eta 1207s
  step 1100/5005 | loss 2.9749 | acc 36.3% | 325s elapsed | eta 1154s
  step 1200/5005 | loss 2.9742 | acc 36.3% | 353s elapsed | eta 1120s
  step 1300/5005 | loss 2.9720 | acc 36.4% | 386s elapsed | eta 1099s
  step 1400/5005 | loss 2.9715 | acc 36.4% | 417s elapsed | eta 1073s
  step 1500/5005 | loss 2.9713 | acc 36.4% | 456s elapsed | eta 1065s
  step 1600/5005 | loss 2.9712 | acc 36.3% | 491s elapsed | eta 1044s
  step 1700/5005 | loss 2.9728 | acc 36.3% | 514s elapsed | eta 1000s
  step 1800/5005 | loss 2.9734 | acc 36.3% | 537s elapsed | eta 957s
  step 1900/5005 | loss 2.9730 | acc 36.3% | 563s elapsed | eta 919s
  step 2000/5005 | loss 2.9739 | acc 36.3% | 592s elapsed | eta 890s
  step 2100/5005 | loss 2.9748 | acc 36.3% | 630s elapsed | eta 872s
  step 2200/5005 | loss 2.9751 | acc 36.3% | 664s elapsed | eta 847s
  step 2300/5005 | loss 2.9755 | acc 36.3% | 688s elapsed | eta 809s
  step 2400/5005 | loss 2.9752 | acc 36.3% | 712s elapsed | eta 773s
  step 2500/5005 | loss 2.9754 | acc 36.3% | 735s elapsed | eta 736s
